,Country,CountryAvgComp
0,Thailand,48379.436893203885
1,United States,249546.25458914627
2,Canada,134018.56490917146
3,New Zealand,151681.80392156861
4,India,28057.664916229056
6,Germany,109256.8840656432
7,United Kingdom,166182.49950421418
8,Australia,171541.11627906977
9,Russian Federation,31124.38336347197
10,Brazil,32623.57
11,Lithuania,41625.13043478261
14,Israel,94944.37651122625
15,South Africa,63550.602870813396
18,Switzerland,172675.60267857142
20,Argentina,29467.26530612245
23,Czech Republic,42486.64182194617
25,Spain,88724.35726210351
29,Serbia,34142.277272727275
31,Poland,38860.441332324
33,Sweden,76865.63616317531
34,China,57430.42105263158
35,France,81214.77972238987
40,Netherlands,100845.07262103505
47,Philippines,16302.58552631579
49,Ireland,250342.2390670554
56,Pakistan,12115.1990521327
61,Austria,83955.6396039604
72,Croatia,45305.66071428572
79,Italy,89535.84388185653
81,Estonia,41402.86524822695
82,Turkey,25133.222664015906
92,Greece,46033.76298701299
103,Romania,45733.03614457831
104,Finland,72175.56806282722
108,Bulgaria,42642.41935483871
113,Viet Nam,17233.436781609194
114,Slovenia,55717.80392156863
115,Iran,16981.245238095238
127,Hungary,33823.55319148936
128,Latvia,40390.41836734694
131,Hong Kong,111738.33333333333
132,United Arab Emirates,53545.65909090909
139,Portugal,50631.606741573036
141,Nigeria,16828.869346733667
150,Norway,182298.94019138755
158,Nicaragua,33064.72727272727
175,Denmark,113769.55476190476
182,Japan,88246.28846153847
214,Bangladesh,21249.652
217,Ukraine,32698.136531365315
227,Mexico,30372.46220302376
229,Ecuador,26596.10714285714
323,Mauritius,16521.666666666668
329,Singapore,120621.5064102564
383,Egypt,13923.026490066226
429,Belgium,73185.56465517242
464,Afghanistan,101953.33333333333
481,Mongolia,8745.5
490,Chile,40438.90972222222
496,Malaysia,22988.0
525,Luxembourg,144603.63636363635
535,Dominican Republic,27355.147058823528
569,Peru,48012.62962962963
637,Nepal,10434.987951807228
678,Colombia,24502.876190476192
691,Guatemala,23677.627906976744
724,Taiwan,40364.71296296296
730,Yemen,16909.166666666668
741,Indonesia,30986.41037735849
754,Morocco,20958.219512195123
755,Sri Lanka,13568.012121212121
815,Slovakia,43292.90666666667
886,Kenya,24360.69
914,"Venezuela",14581.627906976744
943,Belarus,29442.33064516129
946,Panama,54379.318181818184
950,Lebanon,42610.82352941176
978,Kuwait,153294.0
979,Republic of Moldova,20656.645161290322
982,Algeria,34924.04761904762
1000,Bosnia and Herzegovina,24996.283333333333
1007,Syrian Arab Republic,3562.5
1083,Cameroon,24194.91304347826
1087,Turkmenistan,46449.333333333336
1112,Brunei Darussalam,6096.0
1134,Costa Rica,40982.64705882353
1177,Jordan,59234.705882352944
1199,Zimbabwe,34046.666666666664
1222,Trinidad and Tobago,50346.77777777778
1241,Albania,21833.7
1245,Azerbaijan,15785.75
1278,Georgia,42008.204081632655
1304,Armenia,24691.733333333334
1418,Uzbekistan,18304.14285714286
1482,Macedonia,40389.45161290323
1519,Ghana,16520.18181818182
1522,Paraguay,39455.19047619047
1966,Fiji,30529.5
2190,Uganda,37974.35294117647
2431,Rwanda,19776.0
2435,Kazakhstan,42133.21052631579
2436,Saudi Arabia,46463.4081632653
2445,El Salvador,23627.739130434784
2498,Uruguay,53862.57142857143
2611,Tunisia,10130.12962962963
2614,Bolivia,17977.36
2615,Gabon,0.0
2770,Honduras,21239.866666666665
2797,Liechtenstein,811188.0
3334,United Republic of Tanzania,34691.117647058825
3572,Kyrgyzstan,16917.0
3925,Somalia,30999.0
3936,Guinea,1956.0
3984,Ethiopia,14217.44
4055,Republic of Korea,204341.11764705883
4188,Cuba,10920.555555555555
4208,Montenegro,31267.333333333332
4311,Malta,101300.84090909091
4389,Monaco,33684.0
4973,Senegal,25797.6
5129,Angola,7764.0
5381,Iceland,76764.88888888889
5604,Côte d'Ivoire,11579.076923076924
6125,Cyprus,55789.2972972973
6434,Congo,16852.0
7248,Zambia,10075.375
7306,Bahrain,23934.0
8116,Timor-Leste,229500.0
8269,Jamaica,24536.090909090908
8735,Myanmar,75109.8125
9963,Djibouti,18876.0
10872,Togo,4188.0
11224,Cambodia,31957.0
12819,Iraq,17226.0
12919,Sudan,5195.333333333333
13868,Burundi,3606.0
14063,Barbados,21000.0
14384,Lesotho,17544.0
15236,Qatar,224692.66666666666
15432,Tajikistan,4902.0
16142,Botswana,40994.0
16439,Madagascar,5080.0
19926,Burkina Faso,8388.0
27424,Oman,31176.0
32053,Mozambique,17886.0
32494,Andorra,160931.0
32989,Haiti,8910.0
37184,Maldives,15614.0
38242,Saint Vincent and the Grenadines,16281.0
39000,San Marino,301788.0
40095,"Congo, the Democratic Republic of the",110484.0
43058,Lao People's Democratic Republic,5604.0
43930,Seychelles,61308.0
44142,Malawi,11532.0
49696,Democratic People's Republic of Korea,32880.0
51153,Chad,6288.0
51750,Mali,10476.0
