,EdLevel,EducationAvgComp
0,"Bachelor’s degree (BA, BS, B.Eng., etc.)",134966.1315079629
3,Some college/university study without earning a degree,117587.73106527094
4,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",120712.38565022421
6,"Other doctoral degree (Ph.D, Ed.D., etc.)",171504.37904649795
14,Primary/elementary school,95072.54615384615
15,Associate degree,146191.2752688172
22,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",85330.02373361672
33,,127110.73842323056
45,"Professional degree (JD, MD, etc.)",86490.1932885906
94,I never completed any formal education,154087.31363636363
